election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
ny.uscongress2and3.1804,1804,1804,General,"New York 1804 U.S. House of Representatives, Districts 2 and 3",U.S. House of Representatives,ON125,Samuel L. Mitchell,MS0108,Republican,A03,1,Two and Three,4056
ny.uscongress2and3.1804,1804,1804,General,"New York 1804 U.S. House of Representatives, Districts 2 and 3",U.S. House of Representatives,ON125,Daniel D. Tompkins,TD0058,Republican,A03,2,Two and Three,4040
ny.uscongress2and3.1804,1804,1804,General,"New York 1804 U.S. House of Representatives, Districts 2 and 3",U.S. House of Representatives,ON125,Nicholas Fish,FN0016,Federalist,A01,3,Two and Three,3245
ny.uscongress2and3.1804,1804,1804,General,"New York 1804 U.S. House of Representatives, Districts 2 and 3",U.S. House of Representatives,ON125,Wynant Van Zandt,VW0007,Federalist,A01,4,Two and Three,3236
ny.uscongress2and3.1804,1804,1804,General,"New York 1804 U.S. House of Representatives, Districts 2 and 3",U.S. House of Representatives,ON125,James Votey,VJ0153,null,null,5,Two and Three,3
ny.uscongress2and3.1804,1804,1804,General,"New York 1804 U.S. House of Representatives, Districts 2 and 3",U.S. House of Representatives,ON125,Timothy B. Crane,CT0053,null,null,6,Two and Three,2
ny.uscongress2and3.1804,1804,1804,General,"New York 1804 U.S. House of Representatives, Districts 2 and 3",U.S. House of Representatives,ON125,William Denning,DW0080,null,null,7,Two and Three,1
ny.uscongress2and3.1804,1804,1804,General,"New York 1804 U.S. House of Representatives, Districts 2 and 3",U.S. House of Representatives,ON125,Ebenezer Purdy,PE0056,null,null,8,Two and Three,1
ny.uscongress2and3.1804,1804,1804,General,"New York 1804 U.S. House of Representatives, Districts 2 and 3",U.S. House of Representatives,ON125,Thomas Purdy,PT0054,null,null,9,Two and Three,1
ny.uscongress2and3.1804,1804,1804,General,"New York 1804 U.S. House of Representatives, Districts 2 and 3",U.S. House of Representatives,ON125,Richard Williamson,WR0074,null,null,10,Two and Three,1
