election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,William Shepard,SW0150,Federalist,A01,1,Western Two,1142
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,William Shepard,SW0150,Federalist,A01,1,Easthampton,56
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,William Shepard,SW0150,Federalist,A01,1,Leyden,28
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,William Lyman,LW0055,Republican,A03,2,Western Two,200
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,Samuel Taggart,TS0046,Federalist,A01,3,Western Two,58
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,Samuel Taggart,TS0046,Federalist,A01,3,Leyden,2
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,Warham Parks,PW0073,null,null,4,Western Two,51
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,Ebenezer Hunt,HE0035,Federalist,A01,5,Western Two,30
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,Samuel Fowler,FS0045,Republican,A03,6,Western Two,22
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,Joseph Lyman,LJ0212,Federalist,A01,7,Western Two,18
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,Samuel Henshaw,HS0048,null,null,8,Western Two,15
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,Jonathan Leavit,LJ0182,null,null,9,Western Two,13
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,John Williams,WJ0343,null,null,10,Western Two,5
ma.uscongress.western.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Western 2",U.S. House of Representatives,ON125,James Taylor,TJ0177,null,null,11,Western Two,3
